Language	Type	Memory	MI
Hindi	GROUND	2.43816232681	1.7709593
Hindi	GROUND	2.43816232681	1.7680988
Hindi	GROUND	2.43816232681	1.7323872
Hindi	GROUND	2.43816232681	1.7754235
Hindi	GROUND	2.43816232681	1.7611753
Hindi	GROUND	2.43816232681	1.7764082
Norwegian	REAL_REAL	1.78416776657	1.1841916
Norwegian	REAL_REAL	1.78416776657	1.1832808
Norwegian	REAL_REAL	1.78416776657	1.1820718
Norwegian	REAL_REAL	1.78416776657	1.1819975
Norwegian	REAL_REAL	1.78416776657	1.1806805
Norwegian	REAL_REAL	1.78416776657	1.1855525
Norwegian	REAL_REAL	1.78416776657	1.1788776
Norwegian	RANDOM_BY_TYPE	1.78416776657	0.9620476
Norwegian	RANDOM_BY_TYPE	1.78416776657	0.96643406
Norwegian	RANDOM_BY_TYPE	1.78416776657	1.0285684
Norwegian	RANDOM_BY_TYPE	1.78416776657	0.9464699
Norwegian	RANDOM_BY_TYPE	1.78416776657	0.9479542
Norwegian	RANDOM_BY_TYPE	1.78416776657	0.9644944
Norwegian	RANDOM_BY_TYPE	1.78416776657	0.9223523
Norwegian	RANDOM_BY_TYPE	1.78416776657	0.93446743
Norwegian	RANDOM_BY_TYPE	1.78416776657	0.97972506
Norwegian	RANDOM_BY_TYPE	1.78416776657	1.0101845
Norwegian	RANDOM_BY_TYPE	1.78416776657	0.9837829
Norwegian	RANDOM_BY_TYPE	1.78416776657	0.9538843
Norwegian	GROUND	1.78416776657	1.1761918
Norwegian	GROUND	1.78416776657	1.1766952
Norwegian	GROUND	1.78416776657	1.1799548
Norwegian	GROUND	1.78416776657	1.1728879
Norwegian	GROUND	1.78416776657	1.1781129
Norwegian	GROUND	1.78416776657	1.1702727
Norwegian	GROUND	1.78416776657	1.1708766
Spanish	REAL_REAL	2.37128162384	1.5644821
Spanish	REAL_REAL	2.37128162384	1.5574375
Spanish	REAL_REAL	2.37128162384	1.5817034
Spanish	REAL_REAL	2.37128162384	1.5705074
Spanish	REAL_REAL	2.37128162384	1.565864
Spanish	REAL_REAL	2.37128162384	1.5557059
Spanish	REAL_REAL	2.37128162384	1.5536917
Spanish	REAL_REAL	2.37128162384	1.55932
Spanish	REAL_REAL	2.37128162384	1.5442078
Spanish	REAL_REAL	2.37128162384	1.5695442
Spanish	RANDOM_BY_TYPE	2.37128162384	1.2596344
Spanish	RANDOM_BY_TYPE	2.37128162384	1.1292735
Spanish	RANDOM_BY_TYPE	2.37128162384	1.2570102
Spanish	RANDOM_BY_TYPE	2.37128162384	1.221198
Spanish	RANDOM_BY_TYPE	2.37128162384	1.22578
Spanish	RANDOM_BY_TYPE	2.37128162384	1.1306981
Spanish	RANDOM_BY_TYPE	2.37128162384	1.1705111
Spanish	RANDOM_BY_TYPE	2.37128162384	1.1825602
Spanish	RANDOM_BY_TYPE	2.37128162384	1.2047236
Spanish	RANDOM_BY_TYPE	2.37128162384	1.2840315
