Script	Run	Model	Distance	Surprisal	MI	Memory
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	1287629	RANDOM	5	2.563906060774366	0.0	3.308676350589154
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	1287629	RANDOM	6	2.563906060774366	0.0	3.308676350589154
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	1287629	RANDOM	7	2.563906060774366	0.0	3.308676350589154
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	1287629	RANDOM	8	2.563906060774366	0.0	3.308676350589154
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	1287629	RANDOM	9	2.563906060774366	0.0	3.308676350589154
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	1287629	RANDOM	10	2.563906060774366	0.0	3.308676350589154
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	4292308	RANDOM	0	3.782131479060978	1.8666420026658612	0
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	4292308	RANDOM	1	1.915489476395117	0.3466759202705296	1.8666420026658612
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	4292308	RANDOM	2	1.5688135561245873	0.2747161484688805	2.5599938432069207
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	4292308	RANDOM	3	1.2940974076557068	0.2047338526408442	3.384142288613562
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	4292308	RANDOM	4	1.0893635550148626	0.09794308912815186	4.203077699176939
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	4292308	RANDOM	5	0.9914204658867107	0.04212789756171009	4.692793144817698
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	4292308	RANDOM	6	0.9492925683250006	0.017672128897229467	4.945560530187959
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	4292308	RANDOM	7	0.9316204394277712	0.00865129502213291	5.0692654324685655
